"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"book","2810076","Thomas  Erl and Robert  Cope and Amin  Naserpour","","","","","","","","","","","","","","","","2015","","Cloud Computing Design Patterns","","1st","0133858561, 9780133858563","","Prentice Hall Press","Upper Saddle River, NJ, USA"
"book","2602254","Liang  Zhao and Sherif  Sakr and Anna  Liu and Athman  Bouguettaya","","","","","","","","","","","","","","","","2014","","Cloud Data Management","","","3319047647, 9783319047645","","Springer Publishing Company, Incorporated",""
"book","1594890","John  Rittinghouse and James  Ransome","","","","","","","","","","","","","","","","2009","","Cloud Computing: Implementation, Management, and Security","","1st","1439806802, 9781439806807","","CRC Press, Inc.","Boca Raton, FL, USA"
"article","2635314","Marwa  Ayad and Mohamed  Taher and Ashraf  Salem","","","","Real-Time Mobile Cloud Computing: A Case Study in Face Recognition","73--78","","6","Mobile Cloud Computing, Cloud Computing, IAAS, PAAS, SAAS, Open Source Cloud OS, Openstack, Openshift, Client Server communication, Web Services, Image processing, face Detection, face Recognition","10.1109/WAINA.2014.22","","","","","","","2014","","Proceedings of the 2014 28th International Conference on Advanced Information Networking and Applications Workshops","WAINA '14","","978-1-4799-2653-4","","IEEE Computer Society","Washington, DC, USA"
"article","2093960","Marin  Litoiu and Gabriel  Iszlai and Brad  Simmons","","","","The 5th International Workshop on Cloud Computing","380--380","","1","","","","","","","","","2011","","Proceedings of the 2011 Conference of the Center for Advanced Studies on Collaborative Research","CASCON '11","","","Toronto, Ontario, Canada","IBM Corp.","Riverton, NJ, USA"
"article","1927995","Maria  Bergholtz and Birger  Andersson and Paul  Johannesson","","","","Abstraction, Restriction, and Co-creation: Three Perspectives on Services","107--116","","10","","","","","","","","","2010","","Proceedings of the 2010 International Conference on Advances in Conceptual Modeling: Applications and Challenges","ER'10","","3-642-16384-X, 978-3-642-16384-5","Vancouver, BC, Canada","Springer-Verlag","Berlin, Heidelberg"
"book","1594915","Bob  Walsh","","","","","","","","","","","","","","","","2009","","The Web Startup Success Guide","","1st","1430219858, 9781430219859","","Apress","Berkely, CA, USA"
"article","2287388","Richard  Walters","","","","Feature: Managing Privileged User Activity in the Datacentre","6--10","","5","","10.1016/S1353-4858(10)70134-3","Netw. Secur.","November, 2010","2010","11","","November","2010","1353-4858","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"article","2901345","Liang  Zhang and James  Litton and Frank  Cangialosi and Theophilus  Benson and Dave  Levin and Alan  Mislove","","","","Picocenter: Supporting Long-lived, Mostly-idle Applications in Cloud Environments","37:1--37:16","37","16","","10.1145/2901318.2901345","","","","","","","2016","","Proceedings of the Eleventh European Conference on Computer Systems","EuroSys '16","","978-1-4503-4240-7","London, United Kingdom","ACM","New York, NY, USA"
"article","3199447","Jose  Carrasco and Francisco  Durn and Ernesto  Pimentel","","","","Trans-cloud","167--179","","13","Apache Brooklyn, CAMP, Cloud applications, Cross-deployment, Multi-deployment, TOSCA","10.1016/j.csi.2018.01.005","Comput. Stand. Interfaces","May 2018","58","C","","May","2018","0920-5489","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"article","2031755","Konstantinos  Bratanis and Dimitris  Dranidis and Anthony J. H. Simons","","","","SLAs for Cross-layer Adaptation and Monitoring of Service-based Applications: A Case Study","28--32","","5","adaptation, case study, monitoring, quality assurance, service-based application, service-level agreements","10.1145/2031746.2031755","","","","","","","2011","","Proceedings of the International Workshop on Quality Assurance for Service-Based Applications","QASBA '11","","978-1-4503-0826-7","Lugano, Switzerland","ACM","New York, NY, USA"
"article","3097882","Rima  Grati and Khouloud  Boukadi and Han&#234;ne  Ben-Abdallah","","","","SaaS Cloud Provider Management Framework","221--228","","8","Cloud Computing, SaaS Cloud Provider., Service","10.5220/0005550402210228","","","","","","","2015","","Proceedings of the 12th International Joint Conference on e-Business and Telecommunications - Volume 2","ICETE 2015","","978-989-758-113-7","Colmar, Alsace, France","SCITEPRESS - Science and Technology Publications, Lda","Portugal"
"book","2500970","Huseni  Saboowala and Muhammad  Abid and Sudhir  Modali","","","","","","","","","","","","","","","","2013","","Designing Networks and Services for the Cloud: Delivering Business-grade Cloud Applications and Services","","1st","1587142945, 9781587142949","","WebEx Communications",""
"article","2593794","Kaliappa  Ravindran and Arun  Adiththan and Michael  Iannelli","","","","SLA Evaluation with On-the-fly Measurements of Distributed Service Implementation over Clouds","1--10","","10","Allocation of VM resources, QoS auditing, SLA monitoring, cloud service benchmarks, replicated web service","10.1145/2593793.2593794","","","","","","","2014","","Proceedings of the 6th International Workshop on Principles of Engineering Service-Oriented and Cloud Systems","PESOS 2014","","978-1-4503-2841-8","Hyderabad, India","ACM","New York, NY, USA"
"article","2352498","Konstantinos  Georgoulas and Yannis  Kotidis","","","","Towards Enabling Outlier Detection in Large, High Dimensional Data Warehouses","591--594","","4","","10.1007/978-3-642-31235-9_41","","","","","","","2012","","Proceedings of the 24th International Conference on Scientific and Statistical Database Management","SSDBM'12","","978-3-642-31234-2","Chania, Crete, Greece","Springer-Verlag","Berlin, Heidelberg"
"proceeding","2756594","","","","General Chair-Dennis  Gannon and General Chair-Chung-sheng  Li and General Chair-Manish  Parashar and Program Chair-Xiaolin (Andy)  Li and Program Chair-Kuang-Ching  Wang and Program Chair-Rich  Wolski","","","","","","","","","","","","","2015","","Proceedings of the 2Nd International Workshop on Software-Defined Ecosystems","","","978-1-4503-3568-3","Portland, Oregon, USA","ACM","New York, NY, USA"
"proceeding","2517488","","","","Program Chair-Ari  Juels and Program Chair-Bryan  Parno","","","","","","","","","","","","","2013","","Proceedings of the 2013 ACM Workshop on Cloud Computing Security Workshop","","","978-1-4503-2490-8","Berlin, Germany","ACM","New York, NY, USA"
"book","2588125","Michael C. Daconta","","","","","","","","","","","","","","","","2013","","The Great Cloud Migration: Your Roadmap to Cloud Computing, Big Data and Linked Data","","","147872255X, 9781478722557","","Outskirts Press",""
"book","2500959","Douglas K. Barry","","","","","","","","","","","","","","","","2013","","Web Services, Service-Oriented Architectures, and Cloud Computing, Second Edition: The Savvy Manager's Guide","","2nd","0123983576, 9780123983572","","Morgan Kaufmann Publishers Inc.","San Francisco, CA, USA"
"book","2675469","Jim  Doherty and Dave  Asprey","","","","","","","","","","","","","","","","2014","","Cloud Networking Simplified: An Illustrated Guide to Cloud Networking Concepts and Business Models","","1st","1587204290, 9781587204296","","WebEx Communications",""
"book","3153206","Thomas  Erl and Robert  Cope and Amin  Naserpour","","","","","","","","","","","","","","","","2017","","Cloud Computing Design Patterns (Paperback)","","1st","0134767411, 9780134767413","","Prentice Hall Press","Upper Saddle River, NJ, USA"
"book","2845112","Bob  Familiar","","","","","","","","","","","","","","","","2015","","Microservices, IoT, and Azure: Leveraging DevOps and Microservice Architecture to Deliver SaaS Solutions","","1st","1484212762, 9781484212769","","Apress","Berkely, CA, USA"
"book","2723821","Vivek  Kale","","","","","","","","","","","","","","","","2014","","Guide to Cloud Computing for Business and Technology Managers: From Distributed Computing to Cloudware Applications","","1st","1482219220, 9781482219227","","Chapman & Hall/CRC",""
